af,ar,bg,bs,ca,cs,da,de,el,en,eo,es,et,eu,fa,fi,fr,gl,he,hr,hu,hy,id,is,it,ja,ka,kk,ko,it,lv,mk,ms,nl,no,pl,pt,pt_br,ro,ru,sk,sl,sq,sr,sv,th,tl,tr,ur,vi
julle,أنت,Вие,ti,vostè,vy,du,Du,εσείς,you ,vi,tú,sina,zuk,شما,sinä,toi,ti,אתה,vas,te,դու,Anda,þú,Voi,あなた,შენ,сен,너,Voi,tu,ти,Anda,Jij,du,Ty,você,você,tu,ты,vy,ti,ju,ти,du,คุณ,ikaw,Sen,تم,Bạn
ek,أنا,i,i,jo,i,jeg,ich,Εγώ,i ,i,i,i,ni,من,minä,je,i,אני,i,én,ես,Saya,i,io,私,მე,мен,나,io,es,Јас,i,i,Jeg,I,eu,eu,i,я,i,jaz,Unë,ја,jag,ฉัน,i,Ben,میں,Tôi
die,ال,The,The,el,The,det,Die,ο,the ,la,el,selle,-a,در,se,le,o,ה,u,a,է,itu,The,IL,,განსაზღვრული არ,та,그만큼,IL,līdz,на,The,de,de,.,o,o,,а,ten,the,,тһе,de,ที่,ang,.,,các
na,ل,да се,do,a,na,til,Zu,προς την,to ,al,a,juurde,-ra,به,-lla,pour,a,ל,do,nak nek,դեպի,ke,til,A,に,-მდე,қарай,에게,A,līdz,до,ke,naar,til,Do,para,para,la,к,do,do,nga,до,till,ถึง,sa,ile,to,ĐẾN
n,أ,a,a,una,A,-en,A,ένα,a ,a,a,a,-a,آ,eräs,un,A.,א,a,A,էունք,A,a,UN,a,განუსაზღვრელი არტიკლი,а,ㅏ,UN,izšķirt,а,a,A,en,A,a,a,A,а,a,a,një,а,en,อัน,a,A,a,Một
Dit,هو - هي,то,to,la,to,det,Es,το,it ,ĝi,él,see,bera,آی تی,se,il,é,זה,to,azt,այն,dia,það,Esso,それ,ის,ол,그것,Esso,tas,тоа,ia,Het,den,To,isto,isto,aceasta,это,to,to,ajo,то,Det,มัน,ito,BT,یہ,Nó
en,و,и,i,i,a,og,Und,και,and ,Kaj,y,ja,eta,وت,ja,et,e,וכן,i,és,մի քանազոր,Dan,Og,E,と,და,және,그리고,E,un,и,dan,En,og,I,e,e,și,и,a,in,dhe,и,och,และ,at,Ve,اور,Và
daardie,الذي - التي,че,to,aquesta,že,at,Das,ότι,that ,Tio,eso,et,hura,این که,että,ce,iso,זֶה,da,hogy,որ,itu,það,Quello,それか,ის,сол,저것,Quello,tas,тоа,itu,Dat,at,To,que,que,acea,что,taký,to,që,то,den där,ที่,Iyon,O,وہ,cái đó
van,ل,на,od,de,z,af,von,του,of ,de,de,-st,-ren,از,-,de,de,שֶׁל,od,"nak,-nek",է,dari,af,Di,の,*,-ден,~의,Di,no,од,dari,van,av,z,de,de,de,из,z,od,nga,од,av,ของ,ng,ile ilgili,کے,của
